Date/time;LCSS_t[c];LCSS_rh[%];REFERENCE_CO2[ppm];IRCA1(1)_co2[ppm];TDS0058(1)_co2[ppm]
03/02/2020_09:30:15;19.2;49.5;1278;993.9;1080.00
03/02/2020_09:35:16;19.1;48.5;1167;873.7;970.00
03/02/2020_09:40:16;19.0;46.8;995;664.6;740.00
03/02/2020_09:45:16;19.0;45.3;844;563.4;630.00
03/02/2020_09:50:16;18.8;45.2;745;486.2;540.00
03/02/2020_09:55:16;19.0;43.9;666;427.0;490.00
03/02/2020_10:00:16;18.8;44.6;619;414.2;460.00
03/02/2020_10:05:16;18.8;44.6;597;410.4;450.00
03/02/2020_10:10:16;18.9;44.9;589;374.2;430.00
03/02/2020_10:15:16;18.8;44.9;566;378.2;430.00
03/02/2020_10:20:16;18.8;44.7;560;379.5;420.00
03/02/2020_10:25:16;18.9;44.9;563;364.3;420.00
03/02/2020_10:30:16;19.0;44.7;552;365.1;410.00
03/02/2020_10:35:16;19.0;44.5;560;367.3;420.00
03/02/2020_10:40:16;18.9;43.3;542;383.0;410.00
03/02/2020_10:45:16;19.1;43.8;548;397.0;420.00
03/02/2020_10:50:16;19.0;43.0;557;382.2;420.00
03/02/2020_10:55:16;19.1;42.8;554;370.6;420.00
03/02/2020_11:00:16;19.2;42.9;548;370.7;420.00
03/02/2020_11:05:16;19.3;42.9;543;383.0;410.00
03/02/2020_11:10:16;19.2;43.2;552;396.9;440.00
03/02/2020_11:15:16;19.4;42.8;558;385.5;430.00
03/02/2020_11:20:16;19.2;42.5;560;372.7;420.00
03/02/2020_11:25:16;19.3;42.0;549;374.9;420.00
03/02/2020_11:30:16;19.9;49.9;922;1029.1;1110.00
03/02/2020_11:35:16;20.1;49.1;1140;1040.5;1150.00
03/02/2020_11:40:16;20.1;48.6;1212;948.2;1050.00
03/02/2020_11:45:16;19.8;43.7;848;494.9;540.00
03/02/2020_11:50:16;20.2;47.2;916;782.4;850.00
03/02/2020_11:55:16;20.3;46.6;961;781.6;870.00
03/02/2020_12:00:16;20.5;47.4;1007;784.8;890.00
03/02/2020_12:05:16;20.5;46.8;993;771.2;860.00
03/02/2020_12:10:16;20.5;46.8;975;773.4;850.00
03/02/2020_12:15:16;20.7;46.6;970;751.5;840.00
03/02/2020_12:20:16;20.8;46.7;959;757.0;840.00
03/02/2020_12:25:16;20.8;46.6;970;774.1;850.00
03/02/2020_12:30:16;20.9;46.6;973;760.7;850.00
03/02/2020_12:35:16;21.0;46.6;987;742.9;850.00
03/02/2020_12:40:16;21.1;46.5;1004;793.6;890.00
03/02/2020_12:45:16;21.1;47.2;1041;875.4;960.00
03/02/2020_12:50:16;21.0;46.7;1058;866.2;950.00
03/02/2020_12:55:16;21.1;45.7;1010;763.4;850.00
03/02/2020_13:00:16;21.2;44.6;965;701.6;800.00
03/02/2020_13:05:16;21.2;44.2;910;686.2;760.00
03/02/2020_13:10:16;21.2;44.1;861;638.9;720.00
03/02/2020_13:15:16;21.2;44.5;893;690.2;820.00
03/02/2020_13:20:16;21.3;44.5;925;719.5;800.00
03/02/2020_13:25:16;21.4;44.1;933;740.8;840.00
03/02/2020_13:30:16;21.3;44.4;993;818.6;910.00
03/02/2020_13:35:16;21.4;45.5;1024;803.9;920.00
03/02/2020_13:40:16;21.5;46.6;1055;866.9;980.00
03/02/2020_13:45:16;21.6;46.8;1086;869.2;990.00
03/02/2020_13:50:16;21.7;48.2;1127;901.2;1030.00
03/02/2020_13:55:16;21.7;48.1;1129;868.4;1010.00
03/02/2020_14:00:16;21.7;47.5;1123;881.5;1020.00
03/02/2020_14:05:16;21.8;47.4;1141;920.1;1030.00
03/02/2020_14:10:16;21.7;47.1;1155;913.4;1040.00
03/02/2020_14:15:16;21.9;47.0;1135;923.1;1040.00
03/02/2020_14:20:16;22.0;47.0;1186;945.1;1080.00
03/02/2020_14:25:16;21.9;46.3;1164;917.0;1040.00
03/02/2020_14:30:16;21.9;46.2;1126;904.6;1010.00
03/02/2020_14:35:16;21.6;46.6;1109;878.7;980.00
03/02/2020_14:40:16;22.0;45.6;1101;867.7;970.00
03/02/2020_14:45:16;22.1;44.8;1081;834.4;950.00
03/02/2020_14:50:16;22.1;44.4;1049;808.0;930.00
03/02/2020_14:55:16;22.1;44.1;1030;787.5;900.00
03/02/2020_15:00:16;22.2;43.9;1007;749.9;880.00
03/02/2020_15:05:16;22.1;43.5;981;745.9;860.00
03/02/2020_15:10:16;21.9;43.8;981;755.8;850.00
03/02/2020_15:15:16;21.9;43.9;1004;795.5;920.00
03/02/2020_15:20:16;22.0;44.0;1027;816.2;950.00
03/02/2020_15:25:16;22.2;44.0;1044;827.9;960.00
03/02/2020_15:30:16;22.1;43.8;1039;827.3;950.00
03/02/2020_15:35:16;22.1;44.2;1055;810.6;940.00
03/02/2020_15:40:16;22.4;43.6;1049;801.4;940.00
03/02/2020_15:45:16;22.4;43.6;1047;813.7;940.00
03/02/2020_15:50:16;22.4;43.6;1070;851.9;950.00
03/02/2020_15:55:16;22.6;43.1;1072;811.8;950.00
03/02/2020_16:00:16;22.5;42.9;1058;830.1;950.00
03/02/2020_16:05:16;22.7;42.9;1076;870.7;1000.00
03/02/2020_16:10:16;22.6;42.8;1081;853.9;980.00
03/02/2020_16:15:16;22.7;42.9;1078;847.7;970.00
03/02/2020_16:20:16;22.7;43.2;1090;857.7;1000.00
03/02/2020_16:25:16;22.7;42.8;1081;820.8;970.00
03/02/2020_16:30:16;22.7;43.0;1083;870.0;990.00
03/02/2020_16:35:16;22.7;43.2;1104;864.8;1010.00
03/02/2020_16:40:16;22.8;42.5;1098;880.4;1010.00
03/02/2020_16:45:16;22.6;42.6;1095;858.4;980.00
03/02/2020_16:50:16;22.8;42.3;1090;840.4;970.00
03/02/2020_16:55:16;22.8;42.7;1081;864.2;1000.00
03/02/2020_17:00:16;22.9;42.8;1109;867.1;1030.00
03/02/2020_17:05:16;22.9;42.8;1115;886.2;1030.00
03/02/2020_17:10:16;22.9;42.8;1127;889.6;1040.00
03/02/2020_17:15:16;23.1;42.4;1123;861.0;1020.00
03/02/2020_17:20:16;23.0;42.7;1152;956.3;1100.00
03/02/2020_17:25:16;22.8;44.9;1255;1067.9;1210.00
03/02/2020_17:30:16;23.0;44.3;1280;1043.8;1170.00
03/02/2020_17:35:16;23.0;43.7;1260;1012.0;1160.00
03/02/2020_17:40:16;23.0;43.4;1261;987.4;1160.00
03/02/2020_17:45:16;22.9;43.5;1237;995.5;1140.00
03/02/2020_17:50:16;23.1;42.8;1237;987.4;1130.00
03/02/2020_17:55:16;22.9;43.0;1215;970.1;1110.00
03/02/2020_18:00:16;22.9;43.1;1192;945.1;1100.00
03/02/2020_18:05:16;22.9;43.0;1192;929.0;1080.00
03/02/2020_18:10:16;22.8;43.2;1178;959.6;1080.00
03/02/2020_18:15:16;22.8;44.1;1235;1050.6;1210.00
03/02/2020_18:20:16;22.8;44.6;1326;1120.8;1290.00
03/02/2020_18:25:16;22.7;45.3;1403;1217.4;1380.00
03/02/2020_18:30:16;22.9;45.4;1474;1285.0;1450.00
03/02/2020_18:35:16;23.0;45.4;1556;1344.0;1510.00
03/02/2020_18:40:16;23.0;45.8;1614;1369.3;1570.00
03/02/2020_18:45:16;23.0;46.5;1671;1406.6;1610.00
03/02/2020_18:50:16;22.9;46.6;1702;1418.1;1620.00
03/02/2020_18:55:16;23.1;45.8;1691;1405.1;1610.00
03/02/2020_19:00:16;22.9;45.3;1643;1295.6;1490.00
03/02/2020_19:05:16;22.8;43.8;1514;1189.7;1360.00
03/02/2020_19:10:16;22.5;43.0;1440;1163.2;1320.00
03/02/2020_19:15:16;22.4;42.3;1387;1121.6;1260.00
03/02/2020_19:20:16;22.3;41.0;1323;1019.1;1180.00
03/02/2020_19:25:16;22.3;40.6;1276;999.8;1150.00
03/02/2020_19:30:16;22.2;40.8;1253;963.2;1090.00
03/02/2020_19:35:16;22.0;41.2;1203;937.5;1070.00
03/02/2020_19:40:16;22.0;41.2;1146;859.5;1000.00
03/02/2020_19:45:16;21.9;41.2;1101;833.7;970.00
03/02/2020_19:50:16;21.9;41.3;1072;827.8;950.00
03/02/2020_19:55:16;21.8;41.5;1078;861.0;980.00
03/02/2020_20:00:16;21.7;42.1;1084;881.4;990.00
03/02/2020_20:05:16;21.8;43.0;1133;914.5;1060.00
03/02/2020_20:10:16;21.7;43.8;1197;978.1;1100.00
03/02/2020_20:15:16;21.7;44.5;1227;1002.5;1130.00
03/02/2020_20:20:16;21.7;44.9;1263;1021.0;1160.00
03/02/2020_20:25:16;21.7;45.0;1283;1035.6;1190.00
03/02/2020_20:30:16;21.8;45.4;1306;1078.9;1220.00
03/02/2020_20:35:16;21.7;45.7;1326;1106.0;1240.00
03/02/2020_20:40:16;21.7;45.8;1337;1096.1;1230.00
03/02/2020_20:45:16;21.8;46.0;1357;1094.7;1250.00
03/02/2020_20:50:16;21.9;45.9;1372;1126.2;1260.00
03/02/2020_20:55:16;21.9;45.5;1357;1110.5;1240.00
03/02/2020_21:00:16;21.9;45.7;1380;1114.3;1280.00
03/02/2020_21:05:16;21.9;45.9;1369;1102.7;1250.00
03/02/2020_21:10:16;21.8;46.0;1354;1137.1;1240.00
03/02/2020_21:15:16;21.8;46.1;1343;1110.0;1240.00
03/02/2020_21:20:16;21.9;46.2;1363;1114.0;1270.00
03/02/2020_21:25:16;21.9;46.4;1368;1149.5;1280.00
03/02/2020_21:30:16;21.9;48.7;1391;1163.5;1300.00
03/02/2020_21:35:16;22.0;48.8;1394;1157.8;1290.00
03/02/2020_21:40:16;21.7;49.1;1406;1147.8;1310.00
03/02/2020_21:45:16;21.8;49.0;1402;1162.4;1310.00
03/02/2020_21:50:16;21.8;49.4;1446;1229.7;1350.00
03/02/2020_21:55:16;21.2;43.6;1255;982.9;1100.00
03/02/2020_22:00:16;21.0;40.4;1115;807.1;940.00
03/02/2020_22:05:16;20.8;38.4;999;739.4;830.00
03/02/2020_22:10:16;20.5;37.2;910;666.8;740.00
03/02/2020_22:15:16;20.4;36.1;836;603.6;680.00
03/02/2020_22:20:16;20.3;35.2;791;556.5;630.00
03/02/2020_22:25:16;20.2;34.9;740;538.5;590.00
03/02/2020_22:30:16;20.1;34.6;699;514.7;570.00
03/02/2020_22:35:16;19.9;34.6;679;491.8;550.00
03/02/2020_22:40:16;19.9;34.4;666;470.2;530.00
03/02/2020_22:45:16;19.9;33.6;637;459.2;510.00
03/02/2020_22:50:16;19.8;32.9;625;457.6;500.00
03/02/2020_22:55:16;19.6;32.8;614;438.7;490.00
03/02/2020_23:00:16;19.6;32.6;594;421.4;470.00
03/02/2020_23:05:16;19.6;32.6;596;416.0;460.00
03/02/2020_23:10:16;19.6;32.2;591;432.4;460.00
03/02/2020_23:15:16;19.5;31.8;577;421.4;460.00
03/02/2020_23:20:16;19.4;32.0;568;419.0;450.00
03/02/2020_23:25:16;19.3;31.6;574;419.2;440.00
03/02/2020_23:30:16;19.3;31.7;569;420.6;440.00
03/02/2020_23:35:16;19.3;31.8;569;419.3;440.00
03/02/2020_23:40:16;19.2;31.8;565;409.9;440.00
03/02/2020_23:45:16;19.3;31.6;568;412.3;440.00
03/02/2020_23:50:16;19.2;31.9;563;416.2;440.00
03/02/2020_23:55:16;19.1;31.9;558;410.4;440.00
04/02/2020_00:00:16;19.5;36.0;645;610.6;640.00
04/02/2020_00:05:16;19.8;34.8;702;539.0;570.00
04/02/2020_00:10:16;19.7;35.5;708;560.4;580.00
04/02/2020_00:15:16;19.9;35.9;714;551.1;580.00
04/02/2020_00:20:16;19.8;36.0;713;539.6;590.00
04/02/2020_00:25:16;19.9;36.6;708;534.1;580.00
04/02/2020_00:30:16;19.9;37.2;711;548.3;590.00
04/02/2020_00:35:16;19.9;37.3;713;542.5;580.00
04/02/2020_00:40:16;19.9;37.7;713;535.2;590.00
04/02/2020_00:45:16;19.8;38.1;714;527.9;590.00
04/02/2020_00:50:16;19.9;38.2;714;527.3;590.00
04/02/2020_00:55:16;19.9;38.5;719;543.8;590.00
04/02/2020_01:00:16;19.9;38.8;719;524.0;590.00
