Date/time;LCSS_t[c];LCSS_rh[%];REFERENCE_CO2[ppm];IRCA1(1)_co2[ppm];TDS0058(1)_co2[ppm]
03/02/2020_10;19.0;46.5;949.2;668.1;741.7
03/02/2020_11;20.6;48.2;618.8;416.9;464.5
03/02/2020_12;21.5;49.2;846.3;669.1;737.3
03/02/2020_13;22.7;50.9;1086.1;855.8;952.7
03/02/2020_14;23.3;49.6;1081.9;845.9;961.8
03/02/2020_15;23.9;50.4;1218.2;961.9;1090.0
03/02/2020_16;24.2;47.7;1125.1;873.4;1008.2
03/02/2020_17;24.8;46.7;1183.2;932.6;1075.5
03/02/2020_18;25.0;47.2;1306.5;1047.7;1209.1
03/02/2020_19;25.0;49.0;1566.7;1313.7;1500.9
03/02/2020_20;24.3;45.7;1403.3;1097.4;1256.4
03/02/2020_21;23.7;48.9;1385.6;1131.4;1279.1
03/02/2020_22;23.8;51.4;1497.4;1233.8;1383.6
03/02/2020_23;22.0;38.6;846.5;613.1;687.3
04/02/2020_00;21.1;34.9;626.5;456.2;489.1
04/02/2020_01;21.6;40.2;770.4;596.3;642.7
04/02/2020_02;21.7;43.5;800.8;597.4;659.1
04/02/2020_03;21.7;45.6;835.2;641.3;695.5
04/02/2020_04;21.6;47.2;890.5;693.8;750.9
04/02/2020_05;21.5;48.5;948.0;747.2;803.6
04/02/2020_06;21.4;49.4;1022.5;822.6;884.5
04/02/2020_07;21.3;50.1;1104.4;897.0;962.7
04/02/2020_08;21.4;50.3;1142.4;930.6;1002.7
04/02/2020_09;21.7;49.9;1161.5;955.7;1020.9
04/02/2020_10;21.9;48.4;1135.0;920.3;986.4
04/02/2020_11;22.5;50.5;1629.9;1431.2;1560.9
04/02/2020_12;22.9;39.9;1147.7;869.2;962.7
04/02/2020_13;23.2;39.9;776.1;567.6;632.7
04/02/2020_14;23.9;44.6;1152.5;956.7;1044.5
04/02/2020_15;24.5;48.2;1348.2;1157.3;1240.0
04/02/2020_16;24.8;45.4;1044.2;866.7;914.5
04/02/2020_17;25.0;45.3;1026.5;856.7;907.3
04/02/2020_18;25.1;47.4;1332.5;1167.6;1243.6
04/02/2020_19;25.0;44.5;1093.0;922.3;970.0
04/02/2020_20;24.3;45.8;959.4;795.8;821.8
04/02/2020_21;24.3;48.7;1192.6;1058.9;1106.4
04/02/2020_22;24.3;50.4;1499.6;1334.4;1395.5
04/02/2020_23;23.0;46.5;942.9;736.5;780.0
05/02/2020_00;22.2;45.3;635.8;463.6;497.3
05/02/2020_01;21.7;44.8;612.0;451.9;475.5
05/02/2020_02;20.9;45.1;637.4;495.9;504.5
05/02/2020_03;20.3;43.7;662.5;567.7;519.1
05/02/2020_04;19.9;41.6;677.1;592.5;537.3
05/02/2020_05;19.6;40.8;680.8;589.4;531.8
05/02/2020_06;19.1;41.0;660.2;650.4;510.9
05/02/2020_07;19.0;40.2;655.5;582.2;504.5
05/02/2020_08;19.5;38.0;636.1;506.5;490.9
05/02/2020_09;20.1;39.3;747.1;605.4;610.0
